SMILES,DB.Number,M.Wt.,Formula,Name,InChI Code,Model_Enthalpy,Model+Measured_Enthalpy,Model_Entropy,Model+Measured_entropy,C,H,As,B,Br,Cl,F,Ge,I,N,O,P,S,Se,Si,PM6 Entropy 298K,PM7 Enthalpy 298K,"PM7 H-Ho (300 K), kCal/mol","PM7 H-Ho (400 K), kCal/mol","PM7 H-Ho (500 K), kCal/mol","PM7 H-Ho (600 K), kCal/mol","PM7 H-Ho (700 K), kCal/mol","PM7 H-Ho (800 K), kCal/mol","PM7 H-Ho (900 K), kCal/mol","PM7 H-Ho (1000 K), kCal/mol","PM7 H-Ho (1100 K), kCal/mol","PM7 H-Ho (1200 K), kCal/mol","PM7 H-Ho (1300 K), kCal/mol","PM7 H-Ho (1400 K), kCal/mol","PM7 H-Ho (1500 K), kCal/mol","PM7 S-So (300 K), Cal/mol/K","PM7 S-So (400 K), Cal/mol/K","PM7 S-So (500 K), Cal/mol/K","PM7 S-So (600 K), Cal/mol/K","PM7 S-So (700 K), Cal/mol/K","PM7 S-So (800 K), Cal/mol/K","PM7 S-So (900 K), Cal/mol/K","PM7 S-So (1000 K), Cal/mol/K","PM7 S-So (1100 K), Cal/mol/K","PM7 S-So (1200 K), Cal/mol/K","PM7 S-So (1300 K), Cal/mol/K","PM7 S-So (1400 K), Cal/mol/K","PM7 S-So (1500 K), Cal/mol/K",DG (298K),DG   (300K),DG (400K),DG (500K),DG (600K),DG (700K),DG (800K),DG (900K),DG (1000K),DG (1100K),DG (1200K),DG (1300K),DG (1400K),DG (1500K)
[SeH]C(F)C(I)C,16913,266.944,C3H6FISe,1-fluoro-2-iodopropane-1-selenol,"InChI=1S/C3H6FISe/c1-2(5)3(4)6/h2-3,6H,1H3",-180,-180,398.2,398.2,3,6,0,0,0,0,1,0,1,0,0,0,0,1,0,96.7399,-43.323,0.058,3.21,6.887,11.009,15.503,20.307,25.371,30.652,36.117,41.736,47.487,53.349,59.307,0.192,9.223,17.407,24.912,31.833,38.243,44.205,49.767,54.974,59.863,64.465,68.809,72.919,-114.623121,-114.1808021,-89.59339257,-59.88695867,-26.9140912,6.37159304,39.82395379,73.40486452,107.1040582,141.3701351,175.1623196,208.9005378,242.562756,276.1454396
[SeH]C(CF)(I)C,16914,266.944,C3H6FISe,1-fluoro-2-iodopropane-2-selenol,"InChI=1S/C3H6FISe/c1-3(5,6)2-4/h6H,2H2,1H3",-157.4,-157.4,395.5,395.5,3,6,0,0,0,0,1,0,1,0,0,0,0,1,0,96.0027,-37.446,0.059,3.269,6.985,11.135,15.649,20.468,25.544,30.835,36.308,41.934,47.691,53.559,59.521,0.196,9.395,17.667,25.222,32.174,38.605,44.581,50.154,55.369,60.264,64.871,69.219,73.332,-91.218521,-90.7716381,-65.95435657,-36.07071867,-2.944891198,30.47410704,64.04640579,97.74349252,131.5513382,165.9223051,199.8185436,233.6570538,267.421236,301.1004496
[SeH]C(F)C=CI,16916,264.928,C3H4FISe,1-fluoro-3-iodoprop-2-ene-1-selenol,"InChI=1S/C3H4FISe/c4-3(6)1-2-5/h1-3,6H",-80.73,-80.73,398.6,398.6,3,4,0,0,0,0,1,0,1,0,0,0,0,1,0,97.7457,-20.436,0.053,2.923,6.202,9.819,13.718,17.85,22.176,26.664,31.288,36.026,40.86,45.776,50.762,0.177,8.405,15.705,22.292,28.297,33.812,38.905,43.632,48.038,52.16,56.029,59.672,63.112,-54.414961,-54.2372921,-43.04275657,-27.10957867,-8.122531198,11.07142904,30.38455779,49.82846452,69.41251824,89.60244306,109.3717676,129.1345018,148.88314,168.6082296
[SeH]C(F)CCI,16918,266.944,C3H6FISe,1-fluoro-3-iodopropane-1-selenol,"InChI=1S/C3H6FISe/c4-3(6)1-2-5/h3,6H,1-2H2",-186.6,-186.6,405,405,3,6,0,0,0,0,1,0,1,0,0,0,0,1,0,98.5914,-45.047,0.055,3.139,6.757,10.832,15.288,20.062,25.1,30.361,35.809,41.414,47.152,53.003,58.951,0.187,9.02,17.072,24.49,31.352,37.722,43.654,49.195,54.386,59.262,63.854,68.19,72.293,-123.249521,-122.8270721,-98.87075657,-69.73020867,-37.2755752,-4.47970096,28.50207779,61.62494652,94.87863824,128.7063191,162.0709756,195.3804118,228.618864,261.7823796
[SeH]C(CI)CF,16919,266.944,C3H6FISe,1-fluoro-3-iodopropane-2-selenol,"InChI=1S/C3H6FISe/c4-1-3(6)2-5/h3,6H,1-2H2",-180.7,-180.7,393,393,3,6,0,0,0,0,1,0,1,0,0,0,0,1,0,95.324,-43.512,0.056,3.137,6.75,10.82,15.273,20.045,25.084,30.345,35.793,41.399,47.139,52.992,58.942,0.187,9.012,17.053,24.463,31.321,37.689,43.62,49.161,54.353,59.23,63.823,68.161,72.265,-113.773521,-113.3228921,-88.16574057,-57.81975867,-24.1580192,9.84830504,44.04136979,78.38597452,112.8538782,147.8911731,182.4687876,216.9945258,251.442592,285.8203196
[SeH]C(F)CC,16932,141.047,C3H7FSe,1-fluoropropane-1-selenol,"InChI=1S/C3H7FSe/c1-2-3(4)5/h3,5H,2H2,1H3",-275.8,-275.8,344.4,344.4,3,7,0,0,0,0,1,0,0,0,0,0,0,1,0,83.7419,-62.005,0.05,2.848,6.182,9.988,14.194,18.74,23.573,28.649,33.93,39.386,44.99,50.72,56.559,0.168,8.179,15.597,22.524,29.001,35.067,40.756,46.102,51.134,55.88,60.364,64.611,68.639,-192.224559,-191.6632961,-161.2201846,-129.4702087,-96.9793672,-64.03734496,-30.82656221,2.595912516,36.18971824,70.39069506,104.1567476,137.8885118,171.554332,205.1563996
[SeH]C(C)CF,16933,141.047,C3H7FSe,1-fluoropropane-2-selenol,"InChI=1S/C3H7FSe/c1-3(5)2-4/h3,5H,2H2,1H3",-275,-275,340.6,340.6,3,7,0,0,0,0,1,0,0,0,0,0,0,1,0,82.7216,-61.815,0.049,2.817,6.126,9.912,14.103,18.637,23.461,28.53,33.806,39.257,44.857,50.585,56.422,0.166,8.09,15.452,22.342,28.796,34.846,40.525,45.863,50.89,55.632,60.114,64.358,68.385,-190.292159,-189.7249681,-158.8809566,-126.7012387,-93.7605912,-60.35789496,-26.67807821,7.216774516,41.29131824,75.97428706,110.2214956,144.4310718,178.590588,212.6763196
[SeH]C(CI)(C)C,16934,262.98,C4H9ISe,1-iodo-2-methylpropane-2-selenol,"InChI=1S/C4H9ISe/c1-4(2,6)3-5/h6H,3H2,1-2H3",-35.78,-35.78,399.3,399.3,4,9,0,0,0,0,0,0,1,0,0,0,0,1,0,96.1842,-8.834,0.065,3.665,7.941,12.803,18.161,23.937,30.069,36.503,43.192,50.099,57.192,64.443,71.83,0.216,10.524,20.04,28.889,37.139,44.847,52.066,58.841,65.215,71.224,76.9,82.273,87.369,59.177998,59.8184119,94.64243543,135.0185413,178.9377128,223.331877,267.9760778,312.7983725,357.7529182,403.2527671,448.2564836,493.1670978,537.959748,582.6233296
[SeH]C(I)CCC,16939,262.98,C4H9ISe,1-iodobutane-1-selenol,"InChI=1S/C4H9ISe/c1-2-3-4(5)6/h4,6H,2-3H2,1H3",-7.357,-7.357,414.6,414.6,4,9,0,0,0,0,0,0,1,0,0,0,0,1,0,100.2868,-1.881,0.063,3.571,7.759,12.546,17.841,23.565,29.654,36.051,42.709,49.589,56.658,63.888,71.257,0.21,10.254,19.573,28.284,36.437,44.075,51.243,57.98,64.324,70.309,75.966,81.324,86.407,83.041598,83.6505759,117.0039554,156.0068113,198.6237928,241.761329,285.1856858,328.8127985,372.5855382,416.9236451,460.7773236,504.5433338,548.196396,591.7329296
[SeH]C(CI)CC,16940,262.98,C4H9ISe,1-iodobutane-2-selenol,"InChI=1S/C4H9ISe/c1-2-4(6)3-5/h4,6H,2-3H2,1H3",-32.19,-32.19,412.2,412.2,4,9,0,0,0,0,0,0,1,0,0,0,0,1,0,99.6567,-7.965,0.063,3.552,7.733,12.518,17.813,23.539,29.63,36.03,42.691,49.573,56.645,63.878,71.249,0.209,10.199,19.501,28.208,36.362,44.003,51.173,57.913,64.259,70.247,75.906,81.266,86.351,58.923798,59.5388299,93.14349543,132.4156113,175.3043608,218.710739,262.4047738,306.3028185,350.3448182,394.9542751,439.0684356,483.1020338,527.021012,570.8176096
[SeH]C1(C)C=CC1,16949,147.079,C5H8Se,1-methylcyclobut-2-ene-1-selenol,"InChI=1S/C5H8Se/c1-5(6)3-2-4-5/h2-3,6H,4H2,1H3",129.6,129.6,352.8,352.8,5,8,0,0,0,0,0,0,0,0,0,0,0,1,0,85.5844,31.408,0.056,3.24,7.105,11.551,16.48,21.813,27.486,33.445,39.647,46.054,52.636,59.367,66.227,0.188,9.298,17.898,25.988,33.578,40.694,47.372,53.648,59.557,65.13,70.398,75.386,80.118,203.34904,203.8442539,231.0354074,259.5910913,288.9350608,318.763933,348.8917898,379.2588105,409.8217182,441.0156511,471.7907876,502.5398858,533.247692,563.9035596
[SeH]C1(C=C)CC1,16952,147.079,C5H8Se,1-vinylcyclopropane-1-selenol,"InChI=1S/C5H8Se/c1-2-5(6)3-4-5/h2,6H,1,3-4H2",129,129,353.6,353.6,5,8,0,0,0,0,0,0,0,0,0,0,0,1,0,85.8008,30.026,0.057,3.258,7.128,11.57,16.488,21.808,27.467,33.411,39.599,45.992,52.562,59.282,66.131,0.189,9.349,17.96,26.043,33.617,40.715,47.376,53.637,59.533,65.095,70.352,75.332,80.057,202.51064,203.0071799,230.1053754,258.5576513,287.7965408,317.523259,347.5606658,377.8443425,408.3255782,439.4453631,470.1471876,500.8405298,531.4884,562.0847496
[SeH]C(F)C(Br)Br,16955,284.812,C2H3Br2FSe,"2,2-dibromo-1-fluoroethane-1-selenol","InChI=1S/C2H3Br2FSe/c3-1(4)2(5)6/h1-2,6H",-187.3,-187.3,381.9,381.9,2,3,0,0,2,0,1,0,0,0,0,0,0,1,0,95.359,-43.606,0.054,2.96,6.212,9.741,13.493,17.424,21.503,25.701,30,34.382,38.834,43.345,47.906,0.181,8.514,15.758,22.186,27.966,33.213,38.015,42.438,46.534,50.347,53.91,57.252,60.399,-149.137971,-148.8813781,-127.8959446,-103.5177987,-78.9763232,-54.36651496,-29.73986621,-5.063345484,19.68159824,44.98669506,69.82695555,94.62986776,119.3935,144.1011596
[SeH]CC(F)(Br)Br,16956,284.812,C2H3Br2FSe,"2,2-dibromo-2-fluoroethane-1-selenol","InChI=1S/C2H3Br2FSe/c3-2(4,5)1-6/h6H,1H2",-228.3,-228.3,377.6,377.6,2,3,0,0,2,0,1,0,0,0,0,0,0,1,0,94.0899,-53.641,0.055,3.022,6.33,9.906,13.694,17.654,21.755,25.971,30.284,34.678,39.139,43.658,48.226,0.185,8.693,16.062,22.575,28.411,33.697,38.525,42.967,47.077,50.899,54.47,57.819,60.97,-188.856571,-188.5922141,-167.2160726,-142.5099187,-117.6822352,-92.81840496,-67.95696221,-43.05860548,-18.10102176,7.407101057,32.45540355,57.45172776,82.40375596,107.3085896
[SeH]C1C(Br)(Br)C1,16957,278.833,C3H4Br2Se,"2,2-dibromocyclopropane-1-selenol","InChI=1S/C3H4Br2Se/c4-3(5)1-2(3)6/h2,6H,1H2",107.4,107.4,377.7,377.7,3,4,0,0,2,0,0,0,0,0,0,0,0,1,0,93.4881,26.858,0.054,3.028,6.43,10.173,14.187,18.422,22.838,27.404,32.096,36.894,41.781,46.743,51.769,0.182,8.705,16.28,23.095,29.279,34.931,40.13,44.94,49.411,53.585,57.496,61.173,64.641,137.779908,137.9830179,156.4507434,178.4487113,200.7016648,223.082567,245.5328818,268.0693745,290.7067782,313.9225791,336.6979076,359.4470538,382.162648,404.8354096
[SeH]CC(Br)Br,16958,266.822,C2H4Br2Se,"2,2-dibromoethane-1-selenol","InChI=1S/C2H4Br2Se/c3-2(4)1-5/h2,5H,1H2",-26.18,-26.18,366.4,366.4,2,4,0,0,2,0,0,0,0,0,0,0,0,1,0,90.7558,-4.476,0.049,2.717,5.744,9.063,12.619,16.371,20.285,24.335,28.499,32.76,37.102,41.514,45.985,0.165,7.811,14.552,20.596,26.074,31.081,35.689,39.955,43.923,47.63,51.105,54.375,57.459,5.856788,6.071535901,25.13933143,47.79675133,70.7525568,93.86805704,117.0703018,140.3679765,163.7736582,187.7571431,211.3008676,234.8167278,258.294324,281.7354296
[SeH]CC(C)(Br)Br,16959,280.849,C3H6Br2Se,"2,2-dibromopropane-1-selenol","InChI=1S/C3H6Br2Se/c1-3(4,5)2-6/h6H,2H2,1H3",-70.9,-70.9,389.9,389.9,3,6,0,0,2,0,0,0,0,0,0,0,0,1,0,96.1607,-15.027,0.062,3.433,7.304,11.591,16.221,21.138,26.296,31.656,37.188,42.864,48.665,54.57,60.565,0.207,9.868,18.487,26.292,33.423,39.985,46.057,51.703,56.974,61.913,66.555,70.931,75.067,-5.213052,-4.770492099,25.74650743,60.07590133,94.8260288,129.794543,164.8615858,200.0163405,235.2467982,271.0166651,306.2902596,341.4919678,376.599892,411.6106696
[SeH]C(I)C(F)F,16965,270.907,C2H3F2ISe,"2,2-difluoro-1-iodoethane-1-selenol","InChI=1S/C2H3F2ISe/c3-1(4)2(5)6/h1-2,6H",-352.3,-352.3,375,375,2,3,0,0,0,0,2,0,1,0,0,0,0,1,0,91.9489,-83.732,0.051,2.806,5.925,9.343,13.002,16.857,20.871,25.016,29.269,33.612,38.03,42.512,47.047,0.17,8.068,15.015,21.239,26.876,32.02,36.747,41.113,45.166,48.944,52.48,55.801,58.93,-309.91844,-309.6325241,-293.1001526,-271.9415887,-247.8132872,-223.563605,-199.2498342,-174.8670895,-150.3817018,-125.3245709,-100.7098964,-76.12468224,-51.56848804,-27.05358041
[SeH]CC(I)(F)F,16966,270.907,C2H3F2ISe,"2,2-difluoro-2-iodoethane-1-selenol","InChI=1S/C2H3F2ISe/c3-2(4,5)1-6/h6H,1H2",-394.9,-394.9,377.6,377.6,2,3,0,0,0,0,2,0,1,0,0,0,0,1,0,92.6738,-94.295,0.052,2.87,6.054,9.526,13.23,17.119,21.161,25.328,29.598,33.955,38.385,42.876,47.419,0.174,8.252,15.342,21.667,27.372,32.563,37.322,41.711,45.78,49.571,53.116,56.444,59.578,-353.29324,-353.0133601,-336.7802806,-315.9857987,-292.2817712,-268.481861,-244.6504662,-220.7580395,-196.7771818,-172.2325229,-148.1411884,-124.0768062,-100.049804,-76.06158041
[SeH]CC(F)F,16968,145.011,C2H4F2Se,"2,2-difluoroethane-1-selenol","InChI=1S/C2H4F2Se/c3-2(4)1-5/h2,5H,1H2",-486.8,-486.8,324.3,324.3,2,4,0,0,0,0,2,0,0,0,0,0,0,1,0,79.673,-109.697,0.042,2.409,5.172,8.268,11.638,15.235,19.019,22.96,27.032,31.213,35.486,39.837,44.255,0.144,6.923,13.073,18.709,23.899,28.699,33.154,37.305,41.185,44.822,48.242,51.467,54.514,-427.143678,-426.7466901,-404.6443726,-381.6995987,-358.3081472,-334.648173,-310.8253702,-286.8500335,-262.7198418,-237.9746929,-213.6430644,-189.3187102,-165.01332,-140.7238204
[SeH]C1C(Br)C1Br,16970,278.833,C3H4Br2Se,"2,3-dibromocyclopropane-1-selenol","InChI=1S/C3H4Br2Se/c4-1-2(5)3(1)6/h1-3,6H",107.9,107.9,381.4,381.4,3,4,0,0,2,0,0,0,0,0,0,0,0,1,0,94.5632,26.986,0.054,2.985,6.35,10.064,14.056,18.274,22.677,27.233,31.917,36.708,41.589,46.546,51.569,0.179,8.579,16.072,22.835,28.984,34.613,39.797,44.596,49.059,53.227,57.133,60.807,64.272,137.177308,137.3767799,155.5016754,177.1990313,199.1781248,221.308157,243.5176338,265.8191405,288.2299182,311.2228551,333.7761556,356.3070358,378.80102,401.2630396
[SeH]CC(Br)=CBr,16971,278.833,C3H4Br2Se,"2,3-dibromoprop-2-ene-1-selenol","InChI=1S/C3H4Br2Se/c4-1-3(5)2-6/h1,6H,2H2",50.68,50.68,398.5,398.5,3,4,0,0,2,0,0,0,0,0,0,0,0,1,0,99.5364,13.195,0.056,3.075,6.498,10.242,14.249,18.471,22.874,27.426,32.105,36.891,41.767,46.719,51.737,0.186,8.841,16.463,23.282,29.453,35.089,40.272,45.068,49.526,53.69,57.592,61.262,64.724,74.861508,75.0263619,91.37981143,111.2304813,131.3210888,151.552603,171.8493498,192.2456505,212.7436982,233.8314291,254.4786876,275.1068698,295.7015,316.2612396
[SeH]CC(Br)CBr,16972,280.849,C3H6Br2Se,"2,3-dibromopropane-1-selenol","InChI=1S/C3H6Br2Se/c4-1-3(5)2-6/h3,6H,1-2H2",-61.26,-61.26,399.2,399.2,3,6,0,0,2,0,0,0,0,0,0,0,0,1,0,98.8494,-13.196,0.058,3.282,7.041,11.243,15.809,20.677,25.796,31.125,36.631,42.287,48.07,53.96,59.943,0.196,9.43,17.796,25.447,32.48,38.975,45.002,50.615,55.862,60.782,65.41,69.775,73.902,1.655548,2.076581901,31.76766343,65.41075133,99.5506488,133.961601,168.5120458,203.1652505,237.9150582,273.2113811,308.0314956,342.7767978,377.435004,412.0052596
[SeH]C(CBr)(F)I,16990,331.813,C2H3BrFISe,2-bromo-1-fluoro-1-iodoethane-1-selenol,"InChI=1S/C2H3BrFISe/c3-1-2(4,5)6/h6H,1H2",-114.4,-114.4,395.9,395.9,2,3,0,0,1,0,1,0,1,0,0,0,0,1,0,98.252,-30.972,0.056,3.015,6.311,9.873,13.65,17.601,21.694,25.905,30.213,34.603,39.061,43.577,48.142,0.185,8.673,16.014,22.503,28.322,33.595,38.414,42.85,46.955,50.774,54.342,57.689,60.838,-85.783507,-85.5877841,-70.59759257,-49.65276867,-25.8528992,-2.00111096,21.85958579,45.75819652,69.72515824,94.24507706,118.3044036,142.3208398,166.292336,190.2218596
[SeH]C(F)C(Br)I,16991,331.813,C2H3BrFISe,2-bromo-1-fluoro-2-iodoethane-1-selenol,"InChI=1S/C2H3BrFISe/c3-1(5)2(4)6/h1-2,6H",-106,-106,395.8,395.8,2,3,0,0,1,0,1,0,1,0,0,0,0,1,0,98.2211,-28.765,0.054,2.969,6.228,9.762,13.517,17.451,21.531,25.731,30.031,34.414,38.867,43.379,47.94,0.182,8.542,15.801,22.237,28.022,33.272,38.076,42.501,46.598,50.412,53.975,57.319,60.466,-77.353707,-77.1623821,-62.13084057,-41.10453867,-17.1897512,6.79074904,30.79269779,54.83841252,78.95665824,103.6358031,127.8501756,152.0341978,176.169936,200.2599396
[SeH]C(I)C(Br)F,17005,331.813,C2H3BrFISe,2-bromo-2-fluoro-1-iodoethane-1-selenol,"InChI=1S/C2H3BrFISe/c3-1(4)2(5)6/h1-2,6H",-106,-106,392.3,392.3,2,3,0,0,1,0,1,0,1,0,0,0,0,1,0,97.213,-28.774,0.054,2.959,6.211,9.741,13.494,17.426,21.505,25.704,30.004,34.386,38.839,43.35,47.911,0.181,8.511,15.755,22.184,27.965,33.213,38.016,42.439,46.536,50.349,53.913,57.256,60.403,-76.310707,-76.1111281,-60.72080857,-39.32945867,-15.0446072,9.31139104,33.68549379,58.10545252,82.60295824,107.6580191,132.2491436,156.8040658,181.317392,205.7837296
[SeH]CC(I)(Br)F,17006,331.813,C2H3BrFISe,2-bromo-2-fluoro-2-iodoethane-1-selenol,"InChI=1S/C2H3BrFISe/c3-2(4,5)1-6/h6H,1H2",-139.8,-139.8,394.1,394.1,2,3,0,0,1,0,1,0,1,0,0,0,0,1,0,97.7291,-37.705,0.055,3.031,6.346,9.927,13.72,17.684,21.787,26.006,30.321,34.717,39.179,43.7,48.268,0.186,8.721,16.106,22.629,28.471,33.761,38.593,43.037,47.149,50.973,54.545,57.895,61.047,-110.647107,-110.4532181,-95.29096857,-74.19874867,-50.2631872,-26.28448496,-2.30857821,21.69353852,45.76567824,70.38450506,94.54273955,118.6509778,142.720964,166.7381096
[SeH]C(CCl)(F)I,17032,287.359,C2H3ClFISe,2-chloro-1-fluoro-1-iodoethane-1-selenol,"InChI=1S/C2H3ClFISe/c3-1-2(4,5)6/h6H,1H2",-176.7,-176.7,391.9,391.9,2,3,0,0,0,1,1,0,1,0,0,0,0,1,0,96.0611,-43.471,0.054,2.988,6.264,9.813,13.579,17.522,21.608,25.813,30.117,34.503,38.958,43.471,48.034,0.183,8.597,15.894,22.357,28.159,33.421,38.233,42.662,46.763,50.579,54.145,57.489,60.637,-136.33143,-136.0628861,-120.3058806,-100.0696787,-76.9683312,-53.81735296,-30.65537821,-7.459611484,15.81093824,39.63481306,62.99372355,86.31039776,109.588456,132.8179396
[SeH]C(F)C(Cl)I,17033,287.359,C2H3ClFISe,2-chloro-1-fluoro-2-iodoethane-1-selenol,"InChI=1S/C2H3ClFISe/c3-1(5)2(4)6/h1-2,6H",-179.2,-179.2,390,390,2,3,0,0,0,1,1,0,1,0,0,0,0,1,0,95.5092,-44.117,0.054,2.943,6.183,9.704,13.45,17.376,21.45,25.645,29.941,34.321,38.771,43.28,47.839,0.18,8.465,15.683,22.095,27.865,33.105,37.902,42.321,46.415,50.225,53.787,57.128,60.274,-138.26523,-137.9891241,-122.0132766,-101.5172687,-78.1268552,-54.66632896,-31.18895421,-7.664829484,15.93407824,40.08923706,63.78862755,87.44410976,111.062648,134.6288496
[SeH]C1(I)C(Cl)C1,17039,281.379,C3H4ClISe,2-chloro-1-iodocyclopropane-1-selenol,"InChI=1S/C3H4ClISe/c4-2-1-3(2,5)6/h2,6H,1H2",113,113,383.6,383.6,3,4,0,0,0,1,0,0,1,0,0,0,0,1,0,93.5112,32.349,0.054,2.99,6.362,10.081,14.077,18.298,22.702,27.259,31.943,36.733,41.614,46.572,51.594,0.179,8.593,16.102,22.875,29.029,34.662,39.847,44.647,49.11,53.278,57.185,60.858,64.323,146.808249,147.0377799,160.7309674,179.1014913,200.4647648,221.978667,243.5644978,265.2404905,287.0229182,309.3890371,331.3095396,353.2081678,375.086448,396.9217696
[SeH]C(I)CCl,17040,269.368,C2H4ClISe,2-chloro-1-iodoethane-1-selenol,"InChI=1S/C2H4ClISe/c3-1-2(4)5/h2,5H,1H2",-17.46,-17.46,388.8,388.8,2,4,0,0,0,1,0,0,1,0,0,0,0,1,0,95.6163,0.384,0.049,2.683,5.681,8.977,12.515,16.252,20.154,24.195,28.351,32.605,36.942,41.349,45.817,0.162,7.712,14.389,20.391,25.84,30.827,35.422,39.678,43.638,47.339,50.81,54.076,57.158,13.088129,13.2962979,25.93453943,43.30908133,63.7231168,84.31242104,104.9926578,125.7698005,146.6638182,168.1409331,189.1773236,210.1901578,231.169572,252.1144596
[SeH]C(I)C(Cl)=C,17041,281.379,C3H4ClISe,2-chloro-1-iodoprop-2-ene-1-selenol,"InChI=1S/C3H4ClISe/c1-2(4)3(5)6/h3,6H,1H2",48.4,48.4,387.5,387.5,3,4,0,0,0,1,0,0,1,0,0,0,0,1,0,94.5986,15.142,0.056,3.091,6.527,10.283,14.298,18.527,22.934,27.491,32.172,36.96,41.838,46.791,51.81,0.187,8.888,16.54,23.38,29.564,35.209,40.398,45.197,49.658,53.824,57.727,61.398,64.86,81.046049,81.2661079,94.49990743,112.3257713,133.1025848,154.007037,174.9725498,196.0273885,217.1936782,238.9365531,260.2396636,281.5292598,302.781788,324.0076596
[SeH]C(I)C(Cl)C,17042,283.395,C3H6ClISe,2-chloro-1-iodopropane-1-selenol,"InChI=1S/C3H6ClISe/c1-2(4)3(5)6/h2-3,6H,1H3",-42.61,-42.61,398.1,398.1,3,6,0,0,0,1,0,0,1,0,0,0,0,1,0,96.8361,-7.314,0.06,3.334,7.124,11.346,15.925,20.8,25.924,31.256,36.764,42.421,48.204,54.094,60.076,0.2,9.58,18.018,25.704,32.756,39.262,45.294,50.91,56.159,61.08,65.708,70.073,74.2,25.819889,26.2809259,51.83602343,82.40871133,116.1825328,150.213305,184.3668578,218.6267365,252.9770382,287.8737151,322.2915476,356.6367858,390.896428,425.0667396
[SeH]C(CI)(Cl)C,17043,283.395,C3H6ClISe,2-chloro-1-iodopropane-2-selenol,"InChI=1S/C3H6ClISe/c1-3(4,6)2-5/h6H,2H2,1H3",-59.1,-59.1,400.1,400.1,3,6,0,0,0,1,0,0,1,0,0,0,0,1,0,97.4016,-11.789,0.061,3.392,7.224,11.476,16.077,20.97,26.107,31.45,36.967,42.631,48.421,54.317,60.304,0.204,9.75,18.281,26.023,33.11,39.639,45.687,51.315,56.572,61.499,66.133,70.502,74.632,8.733889,9.190089901,34.50422343,64.78704133,98.2358808,131.922861,165.7267698,199.6232105,233.6050582,268.1332811,302.1776436,336.1443958,370.02806,403.8211396
[SeH]C(I)C(Cl)F,17046,287.359,C2H3ClFISe,2-chloro-2-fluoro-1-iodoethane-1-selenol,"InChI=1S/C2H3ClFISe/c3-1(4)2(5)6/h1-2,6H",-176.6,-176.6,384.2,384.2,2,3,0,0,0,1,1,0,1,0,0,0,0,1,0,93.8673,-43.407,0.053,2.927,6.159,9.674,13.415,17.339,21.412,25.606,29.902,34.281,38.73,43.239,47.799,0.178,8.421,15.617,22.02,27.783,33.021,37.816,42.234,46.327,50.137,53.698,57.04,60.185,-133.93683,-133.6507961,-117.0865886,-95.97964867,-71.9841552,-47.91269696,-23.82271821,0.319862516,24.53471824,49.31084106,73.62283555,97.89635576,122.126244,146.3196796
[SeH]CC(I)(Cl)F,17047,287.359,C2H3ClFISe,2-chloro-2-fluoro-2-iodoethane-1-selenol,"InChI=1S/C2H3ClFISe/c3-2(4,5)1-6/h6H,1H2",-219.6,-219.6,389.1,389.1,2,3,0,0,0,1,1,0,1,0,0,0,0,1,0,95.2598,-54.83,0.054,3.004,6.302,9.871,13.654,17.61,21.708,25.923,30.234,34.626,39.086,43.604,48.171,0.183,8.643,15.989,22.488,28.317,33.597,38.422,42.862,46.97,50.791,54.361,57.709,60.859,-178.39703,-178.1228861,-162.0959126,-141.6093887,-118.2744392,-94.90616096,-71.53608221,-48.13262948,-24.66526176,-0.647912943,22.90447155,46.41169376,69.87695596,93.29865959
[SeH]C1C(I)(Cl)C1,17051,281.379,C3H4ClISe,2-chloro-2-iodocyclopropane-1-selenol,"InChI=1S/C3H4ClISe/c4-3(5)1-2(3)6/h2,6H,1H2",92.06,92.06,378.9,378.9,3,4,0,0,0,1,0,0,1,0,0,0,0,1,0,92.1929,26.76,0.054,3.009,6.397,10.128,14.134,18.361,22.771,27.333,32.02,36.814,41.697,46.656,51.68,0.181,8.651,16.194,22.989,29.158,34.801,39.993,44.797,49.264,53.435,57.343,61.018,64.484,127.268849,127.5052719,141.6534114,160.4655113,182.2553128,204.189473,226.1830218,248.2696585,270.4652382,293.2328051,315.5606076,337.8665358,360.141248,382.3817796
[SeH]CC(Cl)I,17052,269.368,C2H4ClISe,2-chloro-2-iodoethane-1-selenol,"InChI=1S/C2H4ClISe/c3-2(4)1-5/h2,5H,1H2",-38.77,-38.77,380.5,380.5,2,4,0,0,0,1,0,0,1,0,0,0,0,1,0,93.288,-5.05,0.048,2.681,5.685,8.987,12.53,16.272,20.178,24.222,28.381,32.637,36.976,41.385,45.853,0.162,7.707,14.396,20.409,25.867,30.861,35.46,39.719,43.683,47.386,50.858,54.125,57.207,-5.748471,-5.527882099,7.944539429,26.15117133,47.3897728,68.79611904,90.29256179,111.8871645,133.5952982,155.8794231,177.7253316,199.5514458,221.343304,243.0977096
